Unnamed: 0,name,username_twitter,hashtag,age,job,country,description,gdp,gdp_pro_capita,labour_percentage,gender_gap,percentuale_ministre,percentuale_parlamentari,hdi,year,image,category
78,Lubov Russkina,,#100Women,22,Nomad,Russian Federation (the),"Lubov lives in Surgut, Siberia, and is part of a reindeer nomad tribe that has been in the area since ancient times. Lubov is now facing a common decision that many young girls in her tribe have to confront - to stay as a nomad or to leave for a more urban life. Lubov appears in our 'Good girl' film-makers strand.","1356,703",9257.93,"77,89163861","0,694",,,"0,809",2015,,
79,Somayya Jabarti,,#SaudiGazette #somayya_jabarti,44,Newspaper editor,Saudi Arabia,"Somayya leads the Saudi Gazette, a Jeddah-based English daily, as Saudi Arabia's first ever female editor in chief. It is rare for female journalists to be promoted to such a public position in Saudi Arabia. When she took the job, she said that ""there's a crack that has been made in the glass ceiling. And I'm hoping it will be made into a door"". Somayya took part in our 'Is media failing women?' debate.","654,27",21063.307,"27,93562869","0,605",,,"0,859",2015,,
80,Rotana Tarabzouni,,#rotanatarabzouni,26,Singer/songwriter,Saudi Arabia,"Rotana came to international prominence two years ago when she leant her voice to the Women's Driving Campaign in Saudi Arabia. Currently living in LA, she sings about the challenges back in Saudi, and the Arab world generally, and is planning to soon go home to face up to her critics.","654,27",21063.307,"27,93562869","0,605",,,"0,859",2015,,
81,Nemata Majeks-Walker,,#100women #100women #SierraLeone ,68,Activist,Sierra Leone,"In 2001, Nemata founded the 50/50 Group of Sierra Leone which encourages and empowers the country’s women to participate in politics. The organisation became the first African group to win the coveted Madeleine Albright Award, in 2007.","4,252",592.903,"96,15773715",,,,"0,431",2015,,
82,Pauline Ng,@paulineng,,29,Entrepreneur,Singapore,Pauline teamed up with her mother in 2009 to set up an award-winning facial spa called Porcelain. It encourages customers to stop wearing foundation so their skin can breathe. Pauline appears in our '30 under 30' strand.,"307,999",55645.607,"78,84324498","0,711",,,"0,931",2015,,
83,Lizanne Teo,,#LizanneTeo,24,Entrepreneurs,Singapore,"Lizanne is the co-founder of Upsurge, an events company specialising in rock concerts. Upsurge handles every aspect of the business, from logistics and operations to production and public relations, despite being a start-up with limited financial resources. Lizanne appears in our '30 under 30' strand.","307,999",55645.607,"78,84324498","0,711",,,"0,931",2015,,
84,Nkosazana Dlamini-Zuma,@DlaminiZuma,#TobaccoBan,66,"Chair, African Union Commission",South Africa,"A trained medical doctor, Nkosazana is the chairwoman of the African Union Commission based in Addis Ababa, Ethiopia. Initially an ANC activist who spent some of the apartheid years in exile, she went on to enter politics, joining the AU in 2012 and is the first woman to head the organisation.","317,578",5731.725,"77,69956967","0,759",,,"0,701",2015,,
85,Lt Cdr Zimasa Mabela,,#WomenMeanBusiness,38,Naval captain,South Africa,"Zimasa grew up in the rural Eastern Cape of South Africa and did not see the sea until she was 18 years old. Inspired by a navy presentation at university, she applied for and won her first job as a radio control official in 1999. She lives in Cape Town.","317,578",5731.725,"77,69956967","0,759",,,"0,701",2015,,
86,Karabo Mathang,,#KaraboMathang,28,Entrepreneur,South Africa,Karabo is South Africa's first female Fifa-accredited soccer agent. She founded P Management to scout for amateur talents and help them to win professional contracts. Karabo features in our '30 under 30' strand.,"317,578",5731.725,"77,69956967","0,759",,,"0,701",2015,,
87,Verashni Pillay,@verashni,,31,Newspaper editor,South Africa,"Verashni is editor in chief of the Mail & Guardian, South Africa's premier independent investigative publication. She has also received the CNN African Journalism Award, a Standard Bank Sikuvile Award and an Open Society Foundation journalism fellowship. Verashni took part in our 'Is media failing women?' debate.","317,578",5731.725,"77,69956967","0,759",,,"0,701",2015,,
88,Claire Reid,,#womenmeanbusiness,29,Entrepreneur,South Africa,Claire designed Reel Gardening in a bid to simplify gardening. The company provides biodegradable strips which anchor the seeds at the correct depth and distance apart and so just need to be planted and watered. Claire appears in our '30 under 30' strand.,"317,578",5731.725,"77,69956967","0,759",,,"0,701",2015,,
89,Alek Wek,,#alekwek,38,Model/UN ambassador,Sudan (the),"One of the world’s most recognisable models, Alek grew up during the Second Sudanese civil war before her family sought refuge in Britain in the 1990s. She pursued a career in modelling and quickly rose to the top of her profession. As UN goodwill ambassador she makes regular trips to South Sudan's refugee camps. Alek features in our '100 Women interviews' strand.","65,266",1698.077,"41,27075801",,,,"0,504",2015,,
90,Emi Mahmoud,@EmiThePoet,#WorldRefugeeDay,22,Poet,Sudan (the),"A poet and activist originating from Darfur, Emi Mahmoud is the reigning World Poetry Slam Champion of 2015. Emi is in her final year at Yale University studying anthropology and molecular biology. Her goal is to alleviate structural disparities in maternal and child health and to empower women across the world through poetry and the power of voice.","65,266",1698.077,"41,27075801",,,,"0,504",2015,,
91,Katrine Marcal,@katrinemarcal,#feministeconomics,32,Economist,Sweden,"Katrine is the author of Who Cooked Adam Smith's Dinner?, a feminist view of economics, shortlisted for the August Prize and the winner of the Lagercrantzen Award. She is also the lead editorial writer for the Swedish newspaper Aftonbladet.","505,104",51274.278,"90,11135858","0,823","52,2","43,6","0,938",2015,,
92,Muzzon al-Mellehan,,#100women,17,Campaigner,Syrian Arab Republic,"Muzzon fled with her parents and three younger siblings to Jordan in 2013, and lives in al-Azraq refugee camp. She has been dubbed the 'Malala of Syria' for her campaign to keep Syrian girls like her in the camp’s makeshift school, rather than being married off.",14,1061,"19,30444222","0,568",,,"0,537",2015,,
93,Siba Alaradi,,#100women #Syria,27,"Structural engineer, now volunteer",Syrian Arab Republic,"Siba and her family fled from war-torn Damascus to Istanbul. She often felt lonely and disheartened until she heard about a community centre in Istanbul for people displaced by the war in Syria. Working with the children there has given Siba, a structural engineer who graduated from Damascus University, an opportunity to give something back and be part of a diverse and supportive community.",14,1061,"19,30444222","0,568",,,"0,537",2015,,
94,Nour,,,,Refugee,Syrian Arab Republic,"One of three sisters who have lived in Raqqa, Syria, all of their lives, including during its recent rule by the so-called Islamic State. Nour (not her real name) escaped Raqqa in recent weeks, leaving her elder and younger sisters behind, and has explained to us about the pressures on girls under the extremist group’s rule. Nour appears in our 'Good girl' film-makers strand.",14,1061,"19,30444222","0,568",,,"0,537",2015,,
95,Sana Ben Ashour,,,60,Civil society activist,Tunisia,"Sana founded women's shelter BEITY (Arabic for My Home) in 2012, motivated by the need for justice and equality for women in her society. It is a unique association in Tunisia that helps single mothers and other women in need, including victims of poverty and domestic violence.","43,172",3829.495,"37,18281529","0,634",,,"0,729",2015,,
96,Amina Sboui,,#Sboui,21,Writer and activist,Tunisia,"Amina made headlines in 2013 by publishing a topless photograph of herself on Facebook with “my body belongs to me and is not the source of anyone’s honour” written across her torso. After being jailed for feminist graffiti Amina went to Paris to study. She has recently returned to Tunisia, where she edits and publishes a feminist magazine.","43,172",3829.495,"37,18281529","0,634",,,"0,729",2015,,
97,Victoria Alonsoperez,@vic_alonsoperez,#BBC @TheIET,28,Entrepreneur,Uruguay,"After studying space engineering she became one of the founders of ieeTECH, which looks for engineering solutions to agricultural problems. The company uses satellites to monitor tagged cattle so farmers can track livestock and detect signs of disease. Victoria appears in our '30 under 30' strand.","53,275",15365.956,"74,15192635","0,679",,,"0,806",2015,,
98,Massiel Chávez,,,15,Schoolgirl,Venezuela (Bolivarian Republic of),"Massiel wants to be a vet when she is older and is a keen user of social media. Now that she is 15 - traditionally considered the start of adulthood in Latin America - she is excited she will be allowed to paint her nails, wear make-up, and, she hopes, go out to parties alone. Massiel appears in our 'Good girl' film-makers strand.","323,595",10568.1,"63,78147299","0,691",,,"0,769",2015,,
99,Neyda Rojas,,,52,Nun,Venezuela (Bolivarian Republic of),"Venezuela has some of the most understaffed, under-resourced and overcrowded jails in the world, and Neyda has been visiting them for 17 years. She is known as ‘the white drop’ - a reference to her nun’s habit. In addition to teaching history and maths to the inmates, she has been involved in kidnapping mediation, delivering babies, and helping the sick.","323,595",10568.1,"63,78147299","0,691",,,"0,769",2015,,
0,Precious Adams,,,25,Ballet dancer,United States of America (the),"Precious Adams spent so much time dancing round the living room as a child, that her mum signed her up for dance lessons. She trained at several top ballet schools, including the National Ballet School of Canada, the Princess Grace Academy in Monaco and the Bolshoi Ballet Academy in Moscow.","21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926",2019,https://c.files.bbci.co.uk/16690/production/_109129719_precious_adams_300.jpg,creativity
1,Parveena Ahanger,,#StandWithKashmir #100Women #FreeKashmir,59,Human rights activist,India,"Parveena is known as the ""Iron lady of Kashmir"". Her teenage son disappeared in 1990, at the height of an uprising against Indian rule in Kashmir. ","2868,93",2097.782,"27,38409038","0,668",,25,"0,645",2019,https://c.files.bbci.co.uk/31F8/production/_109129721_parveena_ahangar_300.jpg,identity
2,Piera Aiello,@aiello_piera,#PieraAiello #Mafia #antimafianewmedia,52,Politician,Italy,"Known as Italy's ""ghost"" politician, Piera Aiello ran for office with her face covered by a veil due to threats from the mafia. In 2018, after winning her seat as an anti-mafia candidate, she finally revealed her face to the public.","2001,466",33159.068,"69,39742507","0,707","27,8",0,"0,892",2019,https://c.files.bbci.co.uk/C066/production/_109145294_piera_aiello_300.jpg,identity
3,Jasmin Akter,@Jazz_Akter,#inspiringwomen #sport #WomensSports #WomensCricket #BBC100,18,Cricketer,Bangladesh,"Jasmin is Rohingya, described by the UN as one of the most persecuted minorities in the world. She was born in a refugee camp in Bangladesh just after her father died.","302,525",1816.035,"44,62028951","0,726",,25,"0,632",2019,https://c.files.bbci.co.uk/D814/production/_109161355_jasmin_akter_300.jpg,sport
4,Manal AlDowayan,@ManalAlDowayan,#UN_Women @BBC100women #ManalAldowayan,46,Artist,Saudi Arabia,"Contemporary artist Manal AlDowayan's work explores invisibility, archives, memory and the representation of women in her country. From black and white photographs of Saudi Arabia's female workforce, to a frozen flock of birds imprinted with the permission slip Saudi women require to travel. ","792,967",23266.486,"28,17961516","0,599",,25,"0,854",2019,https://c.files.bbci.co.uk/1832A/production/_109141199_manal_aldowayan_300.jpg,creativity
5,Kimia Alizadeh,@ki_alizadeh,#KimiaAlizadeh #Olympics #Iran #Tokyo2020,21,Athlete,Iran (Islamic Republic of),"In 2016, Kimia became the first Iranian woman to win a medal at the Olympics since the country began competing in 1948. As a taekwondo athlete, Kimia is credited with ""emboldening Iranian girls and women to push the boundaries of personal freedom"" by the UK's Financial Times newspaper.","583,698",7009.762,"24,30977363","0,584",,50,"0,783",2019,https://c.files.bbci.co.uk/175C4/production/_109148659_kimia_alizadeh_300.jpg,sport
6,Alanoud Alsharekh,@AAlsharekh,#AlAnoudAlSharekh #BBC100Women #100Women,,Women's rights activist,Kuwait,"Dr Alanoud Alsharekh is a founding member of the Abolish 153 campaign, calling for Kuwait's ""honour-killing"" law to be scrapped.","135,387",28499.788,"56,80702994","0,65",,50,"0,806",2019,https://c.files.bbci.co.uk/5908/production/_109129722_alanoud_alsharekh.jpg,leadership
7,Marwa Al-Sabouni,@marwa_alsabouni,@FestivalofIdeas @bbcworldservice,38,Architect,Syrian Arab Republic,"When war broke out in architect Marwa Al-Sabouni's home city of Homs, Syria, she refused to leave.",,,"19,78760638","0,567",,50,"0,567",2019,https://c.files.bbci.co.uk/0AE8/production/_109129720_marwa_al_sabouni_300.jpg,creativity
8,Rida Al Tubuly,@RidaAltubuly,#WomenMediators,57,Peace campaigner,Libya,"Rida Al Tubuly is one of many women pushing for gender equality - but she's doing it from a warzone. Her organisation, Together We Build It, pushes for women's involvement in solving Libya's conflict.","39,832",6055.464,"52,10663409",,,25,"0,724",2019,https://c.files.bbci.co.uk/00D6/production/_109141200_rida_altubuly_300.jpg,identity
9,Tabata Amaral,@tabataamaralsp,,26,Congresswoman,Brazil,"Tabata Amaral, one of Brazil's youngest congresswomen, came to national attention this year when a video of her grilling the country's education minister went viral. ","1839,077",8751.381,"74,09549601","0,691",,25,"0,765",2019,https://c.files.bbci.co.uk/9956/production/_109145293_tabata_amaral_300.jpg,leadership
10,Yalitza Aparicio,@YalitzaAparicio,,26,Actress/Human rights activist,Mexico,"Yalitza Aparicio trained as a primary school teacher, but ended up being cast as the lead in Alfonso Cuarón's Oscar-winning film Roma after accompanying her sister to the audition.","1258,206",9862.44,"58,07109577","0,754","42,1",25,"0,779",2019,https://c.files.bbci.co.uk/B72D/production/_109139864_yalitza_aparicio_300.jpg,creativity
11,Dayna Ash,,#lebanesewomen @BBCWorld @BBCArabic,,Cultural activist,Lebanon,"Born in Lebanon but raised in the US, poet Dayna Ash was shocked when she was advised to hide her sexuality on her return to Beirut at 16.","52,522",7661.073,"32,0304922","0,599",,50,"0,744",2019,https://c.files.bbci.co.uk/27E6/production/_109141201_dayna_ash_300.jpg,creativity
12,Dina Asher-Smith,@dinaashersmith,#runningnetwork,24,Athlete,United Kingdom of Great Britain and Northern Ireland (the),Dina is the fastest woman in British history and the first British woman to win a major global sprint title.,"2830,764",42378.606,"85,37624834","0,767","21,7",0,"0,932",2019,https://c.files.bbci.co.uk/1047C/production/_109148666_dina_asher_smith_300.jpg,sport
13,MiMi Aung,,#WomenInSTEM @NASAPersevere,51,Project manager NASA,United States of America (the),"NASA's MiMi Aung is responsible for a team designing a helicopter to fly on Mars. After travelling alone from Myanmar to the US to further her education at 16, MiMi is now project manager at the NASA Jet Propulsion Laboratory (JPL), California Institute of Technology.","21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926",2019,https://c.files.bbci.co.uk/8018/production/_109129723_mimi_aung_300.jpg,knowledge
14,Nisha Ayub,@NishaAyub1,#BBC @SEEDMalaysia #100Women #LGBT,40,Transgender activist,Malaysia,"At 21, trans woman Nisha Ayub was sentenced to three months in a male prison under a provision of Sharia law which prohibits ""a male person wearing women's attire or posing as a woman in a public space.” ","364,684",11193.016,"66,3092616","0,677",,50,"0,81",2019,https://c.files.bbci.co.uk/A728/production/_109129724_nisha_ayub_300.jpg,identity
15,Judith Bakirya,,#Uganda #BBC100women #BBC100women,50,Farmer,Uganda,"Raised on a farm in Uganda, Judith Bakirya became the first of her peers to win a scholarship to a prestigious girls' boarding school, going on to obtain a masters in the UK and a job in the City.","36,484",916.156,"91,21014283","0,717",,25,"0,544",2019,https://c.files.bbci.co.uk/CE38/production/_109129725_judith_bakirya_300.jpg,earth
16,Ayah Bdeir,@ayahbdeir,@littleBits ,37,Entrepreneur,Lebanon,"Branded as 21st Century building blocks, Ayah Bdeir's littleBits company makes kits of electronic blocks that snap together with magnets, allowing anyone to ""build, prototype, and invent"".","52,522",7661.073,"32,0304922","0,599",,50,"0,744",2019,https://c.files.bbci.co.uk/F548/production/_109129726_aya_bdeir_300.jpg,creativity
17,Dhammananda Bhikkhuni,,#asianheritagemonth #inspirationalasian #InfluencialWomen #Buddhism #Feminism #ThaiFemaleMonk #Buddhism #Thailand,75,Monk,Thailand,"Buddhism is Thailand's most common religion, with some 300,000 Buddhist monks. But female monks - known as bhikkhunis - aren't recognised, and are banned from being ordained on Thai soil.","543,564",7806.961,"78,07436724","0,708",,25,"0,777",2019,https://c.files.bbci.co.uk/1A1C/production/_109148660_dhammananda_bhikkhuni_300.jpg,leadership
18,Mabel Bianco,@mabelbianco,#Women20,78,Doctor,Argentina,"Feminist medical doctor Mabel Bianco has spent four decades putting women's health, reproductive rights, abortion, and HIV/AIDS on the public policy agenda in Argentina.","444,458",9890.314,"70,6092708","0,746",,0,"0,845",2019,https://c.files.bbci.co.uk/4EF6/production/_109141202_mabel_bianco_300.jpg,leadership
19,Raya Bidshahri,@raya_bid,#100Women #BBC100Women @BBCWorld @BBC100women,,Educator,Iran (Islamic Republic of),"Raya is founder and CEO of the award-winning Awecademy, an organisation with a mission to use education to improve the world.","583,698",7009.762,"24,30977363","0,584",,50,"0,783",2019,https://c.files.bbci.co.uk/14368/production/_109129728_raya_bidshahri_300.jpg,knowledge
20,Katie Bouman,,#BlackHolePicture #OpenScience #WomenInSTEM,30,Scientist,United States of America (the),Katie was a key leader on the team that developed algorithms and techniques to recover the first-ever image of a black hole.,"21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926",2019,https://c.files.bbci.co.uk/17389/production/_109131159_katie_bouman_300.jpg,knowledge
21,Sinéad Burke,@TheSineadBurke,#sineadburke #IWD2021,29,Disability activist,Ireland,"After recounting not being able to reach the locks on toilet doors in a candid speech in 2017, Sinéad Burke quickly became one of the world's most influential disability activists. Calling for all design to be more accessible, she has challenged some of the biggest names in the fashion industry - including Anna Wintour - to make clothing more inclusive.","398,469",80504.404,"81,80497444","0,798","26,7",0,"0,955",2019,https://c.files.bbci.co.uk/683C/production/_109148662_sinead_burke_300.jpg,identity
22,Lisa Campo-Engelstein,@CampoEngelstein,#100women @BBC100women #bioethics #contraception ,,Bioethicist,United States of America (the),"Author of Contraceptive Justice: Why We Need a Male Pill, bioethicist Lisa Campo-Engelstein's work aims to improve women's lives through finding new methods of contraception.","21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926",2019,https://c.files.bbci.co.uk/17E1/production/_109131160_lisa_campo_engelstein_300.jpg,knowledge
23,Scarlett Curtis,@scarcurtis,,24,Writer/Campaigner,United Kingdom of Great Britain and Northern Ireland (the),"Scarlett is co-founder of The Pink Protest, an online community of activists who supported the successful #FreePeriods campaign to get free menstrual products in schools in England.","2830,764",42378.606,"85,37624834","0,767","21,7",0,"0,932",2019,https://c.files.bbci.co.uk/3EF1/production/_109131161_scarlett_curtis_300.jpg,creativity
24,Ella Daish,@ella_daish,#EndPeriodPlastic #PlasticChallenge #EcoPeriodBox,,Environmentalist,United Kingdom of Great Britain and Northern Ireland (the),"Delivering post in rural Wales, Ella was shocked by the amount of discarded plastic on the streets.","2830,764",42378.606,"85,37624834","0,767","21,7",0,"0,932",2019,https://c.files.bbci.co.uk/6601/production/_109131162_ella_daish_300.jpg,earth
25,Sharan Dhaliwal,@sharandhaliwal_,,,Artist and writer,United Kingdom of Great Britain and Northern Ireland (the),"British-Indian Sharan is founder and editor-in-chief of Burnt Roti magazine, focusing on mental and sexual health for young South Asians, and LGBTQ rights. Aided by crowdfunding, she published her first print issue in April 2016 and has since launched an online version.","2830,764",42378.606,"85,37624834","0,767","21,7",0,"0,932",2019,https://c.files.bbci.co.uk/8D11/production/_109131163_sharan_dhaliwal_300.jpg,identity
26,Salwa Eid Naser,,#Athletics #worldathletics #400m,21,Athlete,Nigeria,Salwa Eid Naser stunned the field in the 400m final in Doha this year by running faster than any woman has done for more than three decades.,"448,12",2229.854,"76,86945703","0,635",,50,"0,539",2019,https://c.files.bbci.co.uk/8F4C/production/_109148663_salwa_eid_nasser_300.jpg,sport
27,Rana El Kaliouby,@kaliouby,@Affectiva #EmotionAI #Artificialintelligence #fintech  #IA #bigdata,41,AI pioneer,Egypt,"Rana el Kaliouby is a pioneer of artificial emotional intelligence, or Emotion AI. Her start-up Affectiva has developed software that can understand emotions by analysing facial expressions through a camera.","302,335",3043.64,"25,93789456","0,629",,25,"0,707",2019,https://c.files.bbci.co.uk/7606/production/_109141203_rana_el_kaliouby_300.jpg,knowledge
28,Maria Fernanda Espinosa,@mfespinosaEC,@WHO #IWD2021 ,55,UN General Assembly,Ecuador,"When Maria Fernanda Espinosa became president of the UN General Assembly, she became only the fourth woman to hold the position in the body's history - and the first from Latin America and the Caribbean.","107,436",6221.667,"68,37278039","0,729",,25,"0,759",2019,https://c.files.bbci.co.uk/DB31/production/_109131165_maria_espinosa_300.jpg,leadership
29,Lucinda Evans,@Sunbird_Khoisan,@BBCWorld #InternationalWomensDay #WomensDay,47,Women's rights activist ,South Africa,"As South Africa faces rising rates of murder and rape against women and girls, Lucinda has emerged as a voice for women. She leads nationwide marches, rallying thousands of women in the streets of Cape Town, challenging government to translate policy into action.","351,354",5977.954,"78,83942599","0,78",,25,"0,709",2019,https://c.files.bbci.co.uk/B421/production/_109131164_lucinda_evans_300.jpg,identity
30,Sister Gerard Fernandez,,#Sister #PrisonMinistry #religiouslife #compassion #BBC #Singapore,81,Roman Catholic nun,Singapore,"Sister Gerard is a Roman Catholic nun in Singapore, who worked for three decades as a death row counsellor.","372,066",65233.88,"79,05759389","0,724",,50,"0,938",2019,https://c.files.bbci.co.uk/10241/production/_109131166_sister_gerard_fernandez_300.jpg,leadership
31,Bethany Firth,@BethanyFirth2,,23,Paralympic swimmer,United Kingdom of Great Britain and Northern Ireland (the),"Overcoming a fear of water after falling into an adult pool as a toddler, Bethany Firth burst onto the swimming scene at the London 2012 Paralympics. Bethany, who has learning disabilities, is now a four-time Paralympic gold medallist and multiple world record holder, and was Britain's most decorated athlete at the Rio 2016 Paralympics.","2830,764",42378.606,"85,37624834","0,767","21,7",0,"0,932",2019,https://c.files.bbci.co.uk/13596/production/_109145297_bethany_firth_300.jpg,sport
32,Owl Fisher,@UglaStefania,#LGBTQIA #SexNotGender,28,Transgender activist ,Iceland,"Owl - aka Ugla Stefanía Kristjönudóttir Jónsdóttir - is a journalist, writer and trans campaigner. They are the co-director of My Genderation, a film project focusing on trans lives and trans experiences.","24,224",67857.184,"89,45088673","0,877",40,0,"0,949",2019,https://c.files.bbci.co.uk/12951/production/_109131167_owl_fisher_300.jpg,identity
33,Shelly-Ann Fraser-Pryce,@realshellyannfp,#Caribbean,33,Athlete,Jamaica,"After storming to victory in 10.71 seconds at the women's 100m final in Doha in September 2019, Shelly-Ann Fraser-Pryce now boasts more 100m world championship titles than Usain Bolt.","15,884",5826.09,"82,30475224","0,735",,50,"0,734",2019,https://c.files.bbci.co.uk/12B8C/production/_109148667_shelly_ann_fraser_pryce_300.jpg,sport
34,Zarifa Ghafari,@Zarifa_Ghafari,#Afghan #IWOC #WomensHistoryMonth,27,Mayor,Afghanistan,"At 26, Zarifa Ghafari is one of Afghanistan's first female mayors. The country's president appointed her mayor of Maidan Wardag, where support for the Taliban is widespread. She took the job despite it being too dangerous for her to live there - her office was mobbed by angry men on her first day. ","18,876",507.29,"29,20021633",,,25,"0,511",2019,https://c.files.bbci.co.uk/690D/production/_109139862_zarifa_ghafari_300.jpg,leadership
35,Jalila Haider,@Advjalila,,31,Lawyer,Pakistan,"Human rights lawyer Jalila specialises in defending women's rights in Pakistan, and provides free legal services to women in poverty. ","276,114",1348.676,"26,47202531","0,564",,25,"0,557",2019,https://c.files.bbci.co.uk/15061/production/_109131168_jalila_haider_300.jpg,leadership
36,Tayla Harris,@tayla_harris7,#TaylaHarris #FootballArt #GoTaylah #IWD2021 #IWD #WomenInSport,22,Footballer/boxer,Australia,"Tayla Harris is an Australian rules footballer playing for Carlton Football Club in the AFL Women's league, and a professional boxer.","1387,085",54348.227,"85,46935998","0,731","21,4",50,"0,944",2019,https://c.files.bbci.co.uk/9D16/production/_109141204_tayla_harris_300.jpg,sport
37,Hollie Daniels,@_holliedaniels_,#ASHE2019,36,Sex trafficking survivor,United States of America (the),"Hollie is a survivor of sex trafficking from Columbus, Ohio, US. She was first sold by her mother at the age of 15 and was enslaved through drug-use for 17 years. With the help of an innovative court programme called CATCH Court - which spots criminals who are actually victims - she was able to escape in 2015. Most women who are sex trafficked in the US are branded with tattoos or scars and she has since transformed the tattoos on her own body. ","21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926",2019,https://c.files.bbci.co.uk/11AFA/production/_109224427_hollie_300.jpg,identity
38,Huang Wensi,,#HuangWensi #womenleaders #femaleathletes,30,Professional boxer,China,"Huang Wensi, 29, is one of a small but growing number of female boxers in China.","14401,726",10286.58,"80,06609183","0,676",,0,"0,761",2019,https://c.files.bbci.co.uk/7246/production/_109145292_huang_wensi_300.jpg,sport
39,Luchita Hurtado,,#womensart,99,Artist,Venezuela (Bolivarian Republic of),"This year, artist Luchita Hurtado landed her first solo show in a public gallery - at the age of 98.","63,96",2299.308,"56,03045175","0,713",,0,"0,711",2019,https://c.files.bbci.co.uk/16263/production/_109132709_luchita_hurtado_300.jpg,creativity
40,Yumi Ishikawa,@yumi_ishikawa11,#WomenPower,32,Founder #kutoo ,Japan,"Tired of the pain she suffered wearing heels eight hours a day at work, Yumi decided to vent her frustration on Twitter.","5079,916",40255.936,"74,67930907","0,652","5,3",50,"0,919",2019,https://c.files.bbci.co.uk/DE3D/production/_109139865_yumi_ishikawa_300.jpg,identity
41,Asmaa James,@asmaakjames,#SierraLeone,,Journalist/activist,Sierra Leone,"Through a career in journalism and community social work, Asmaa has become the voice of Sierra Leone's voiceless. ","4,213",539.122,"98,74699697","0,668",,25,"0,452",2019,https://c.files.bbci.co.uk/06BB/production/_109132710_asmaa_james_300.jpg,leadership
42,Aranya Johar,,#AranyaJohar,21,Poet,India,"Aranya uses beat poetry to address issues like gender equality, mental health and body positivity.","2868,93",2097.782,"27,38409038","0,668",,25,"0,645",2019,https://c.files.bbci.co.uk/2DCB/production/_109132711_aranya_johar_300.jpg,creativity
43,Katrina Johnston-Zimmerman,@think_katrina,#100Women,,Anthropologist,United States of America (the),"Katrina Johnston-Zimmerman is an urban anthropologist, working to make cities better places to live in.","21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926",2019,https://c.files.bbci.co.uk/54DB/production/_109132712_katrina_johnston_zimmerman.jpg,earth
44,Gada Kadoda,,#Sudan #BBC100women,,Engineer,Sudan (the),Dr Gada Kadoda helps women in remote areas use solar power to bring electricity to their villages by training them as community engineers.,"33,359",771.814,"43,10673961",,,25,"0,51",2019,https://c.files.bbci.co.uk/C426/production/_109141205_gada_kadoda_300.jpg,earth
45,Amy Karle,@amykarle,#bioart #Bioartist,,Bioartist,United States of America (the),"Born with a rare condition which left her with missing skin, Amy Karle grew up fascinated by the possibility of what the human body could be capable of with the right technology.","21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926",2019,https://c.files.bbci.co.uk/7BEB/production/_109132713_amy_karle_300.jpg,knowledge
46,Ahlam Khudr,,#BlueForSudan #Sudanrevolution #bbcnews,,Protest leader,Sudan (the),"Self-proclaimed 'mother of all Sudanese martyrs', Ahlam's 17-year-old son was killed in a peaceful protest in 2013. Since then, Ahlam has dedicated her life to seeking justice for him, and fighting for the rights of those killed or 'disappeared' in Sudan. ","33,359",771.814,"43,10673961",,,25,"0,51",2019,https://c.files.bbci.co.uk/10E86/production/_109145296_ahlam_khudr_300.jpg,leadership
47,Fiona Kolbinger,,#womenpower #womeninsports #cycling,24,Cyclist,Germany,"In 2019, cancer researcher Fiona Kolbinger became the first woman ever to win the Transcontinental Race - one of the world's toughest cycling races.","3861,55",46472.623,"82,95810294","0,787",40,50,"0,947",2019,https://c.files.bbci.co.uk/A2FB/production/_109132714_fiona_kolbinger_300.jpg,sport
48,Hiyori Kon,@hiyori_kon,#BBC100women #LittleMissSumo #femalesumowrestling #sumochampion,22,Sumo wrestler,Japan,"Hiyori Kon, 21, is a sumo wrestling prodigy in a country where women are still barred from competing professionally. ","5079,916",40255.936,"74,67930907","0,652","5,3",50,"0,919",2019,https://c.files.bbci.co.uk/CA0B/production/_109132715_hiyori_kon_300.jpg,sport
49,Aïssata Lam,@lam_aissa,,33,Microfinance expert,Mauritania,Aïssata Lam set up the Youth Chamber of Commerce of Mauritania to support young women entrepreneurs struggling to access funding for their start-ups.,"7,6",1872.593,"44,75947902","0,614",,25,"0,546",2019,https://c.files.bbci.co.uk/F11B/production/_109132716_aissata_lam_300.jpg,leadership
50,Soo Jung Lee,,#100Women,55,Forensic psychologist,Korea (the Republic of),"Forensic psychology professor Soo Jung Lee has worked on numerous high-profile murder cases in South Korea. Based at Kyonggi University in Seoul, she has challenged the legal system, helping introduce an anti-stalking bill.","1646,739",31846.217,"73,85988764","0,672","22,2",25,"0,916",2019,https://c.files.bbci.co.uk/1054D/production/_109139866_soo_jung_lee_300.jpg,leadership
51,Fei-Fei Li,@drfeifei,#AI #computervision #ML,44,AI pioneer,United States of America (the),"Fei-Fei Li arrived in the US from China at 16 with no English language skills, working part-time in her parents' dry-cleaning business.","21433,225",65253.518,"82,75258981","0,724","21,7",50,"0,926",2019,https://c.files.bbci.co.uk/1182B/production/_109132717_fei_fei_300.jpg,knowledge
