Unnamed: 0,name,username_twitter,hashtag,age,job,country,description,gdp,gdp_pro_capita,labour_percentage,gender_gap,percentuale_ministre,percentuale_parlamentari,hdi,year,image,category
17,Bel Pesce,@belpesce,@TEDTalks ,27,Entrepreneur,Brazil,Bel returned to Brazil to launch her own company after graduating from the Massachusetts Institute of Technology. FazINOVA is a business school offering free online courses. Bel features in our '30 under 30' strand.,"1800,046",8846.478,"70,80844133","0,686",,,"0,756",2015,,
18,Lorrana Scarpioni,@loscarpioni,@WeBeliive #IntelChallenge,25,Entrepreneur,Brazil,"The founder of Bliive, a sharing economy site which allows people to swap expertise rather than doing jobs for money. After a successful launch in Brazil, she is now expanding into Europe. Lorrana features in our '30 under 30' strand.","1800,046",8846.478,"70,80844133","0,686",,,"0,756",2015,,
19,Nicola Adams,@NicolaAdamsOBE,#NicolaAdams,32,Boxer,United Kingdom of Great Britain and Northern Ireland (the),Nicola is the world’s first female boxing Olympic champion and is the current Commonwealth Games and European Games flyweight champion. She was awarded an MBE in 2013 for her services to boxing.,"2929,238",44989.063,"83,00145841","0,758","22,7","29,4","0,923",2015,,
20,Nicola Benedetti,@NickyBenedetti,#nicolabenedetti #LondonSymphonyOrchestra #nickybenedetti,28,Musician,United Kingdom of Great Britain and Northern Ireland (the),"One of the most sought after violinists of her generation, Nicola is fiercely committed to music education and to developing young talent. She is an ambassador for Sistema Scotland’s Big Noise project and vice president of the National Children's Orchestra of Great Britain. She has also developed her own education initiative, The Benedetti Sessions.","2929,238",44989.063,"83,00145841","0,758","22,7","29,4","0,923",2015,,
21,Claire Fox,@Fox_Claire,,55,Writer and broadcaster,United Kingdom of Great Britain and Northern Ireland (the),"Claire is a writer, broadcaster and columnist. She is also the director of the Institute of Ideas, which she set up in order to challenge ""established orthodoxies"" and which organises public debates on controversial topics. Claire took part in our 'Is media failing women?' debate.","2929,238",44989.063,"83,00145841","0,758","22,7","29,4","0,923",2015,,
22,Melanie Goldsmith,,@SmthandSnclr ,26,Entrepreneur,United Kingdom of Great Britain and Northern Ireland (the),Melanie's alcoholic sweets are now sold in high-end London high street stores after she made them for a dating event. Her company Smith and Sinclair has created edible cocktails for more than 32 brands of alcohol. Melanie appears in our '30 under 30' strand.,"2929,238",44989.063,"83,00145841","0,758","22,7","29,4","0,923",2015,,
23,Alice Gray,@AliceJaneGray,,23,Blogger,United Kingdom of Great Britain and Northern Ireland (the),"Alice Gray graduated from Cardiff University with a BSc in Neuroscience in 2013 and has been blogging ever since. Her blog, mind-ful.blogspot.co.uk, discusses issues which women face in science, technology, engineering and maths ('Stem' subjects). She aims to improve the number of women in the industry and has been involved in inquiries into Stem education in Wales.","2929,238",44989.063,"83,00145841","0,758","22,7","29,4","0,923",2015,,
24,Michaela Hollywood,@KylaHollywood,,25,Fundraiser,United Kingdom of Great Britain and Northern Ireland (the),"Michaela, who has the congenital muscle wasting condition Spinal Muscular Atrophy, has been recognised by the UK prime minister for her services to young disabled people. The student from County Down in Northern Ireland has raised more than £10,000 ($15,180) for charity, but has also encouraged hundreds of others to fundraise themselves.","2929,238",44989.063,"83,00145841","0,758","22,7","29,4","0,923",2015,,
25,Dame Tina Lavender,@DameTina1,#studentmidwife ,49,Midwife,United Kingdom of Great Britain and Northern Ireland (the),"Tina is one of the world's top experts in midwifery, specialising in the management of prolonged labour and the use of the partograph - a tool designed to help midwives monitor births. She acts as an advisor to the World Health Organisation and developed a board game designed to increase the use of the tool in Africa. Tina features in our coverage focusing on nursing across the world.","2929,238",44989.063,"83,00145841","0,758","22,7","29,4","0,923",2015,,
26,Jessy McCabe,@jessy_mccabe,,17,Schoolgirl,United Kingdom of Great Britain and Northern Ireland (the),"Jessy is in her final year of school and is currently studying for her A Levels in music, maths and history. After realising she was not studying even one female composer as part of her music A Level, she successfully petitioned the largest exam board in the UK to change the syllabus.","2929,238",44989.063,"83,00145841","0,758","22,7","29,4","0,923",2015,,
27,Jenni Rhodes,,#HappyHapp2014,83,Textile designer,United Kingdom of Great Britain and Northern Ireland (the),"Jenni is a recently retired model, former actress and fashion designer, and is still working hard. At an age when many people are in comfortable retirement, she has started a new career as a textile designer. Jenni features in our 'Vintage ladies' strand.","2929,238",44989.063,"83,00145841","0,758","22,7","29,4","0,923",2015,,
28,Baroness Patricia Scotland,,,60,Trade envoy,United Kingdom of Great Britain and Northern Ireland (the),"Patricia is a British barrister and former UK attorney general. She was appointed Britain’s first black female Queen’s Counsel in 1991, is currently Britain’s trade envoy to South Africa and is the founder of the Corporate Alliance Against Domestic Violence.","2929,238",44989.063,"83,00145841","0,758","22,7","29,4","0,923",2015,,
29,Sophie Walker,@SophieRunning,,44,Women's Equality Party leader,United Kingdom of Great Britain and Northern Ireland (the),"Sophie is the leader of the Women’s Equality Party, a new collaborative force in British politics, which believes women should enjoy the same rights and opportunities as men. She worked as an international news agency journalist for nearly 20 years and is also an ambassador for the National Autistic Society, campaigning for better support and understanding of autism, particularly in women and girls.","2929,238",44989.063,"83,00145841","0,758","22,7","29,4","0,923",2015,,
30,Alimata Bara,,,24,Trader,Burkina Faso,"Alimata is from Beguedo, a small village in Eastern Burkina Faso, and is married to an economic migrant working in Italy. Since their marriage in 2009, her husband has only returned twice. She thought marrying a migrant would allow her to escape the hardships of rural life, and that she would join him abroad, but instead she spends her time waiting and looking after their two children.","11,833",653.393,"77,32519126","0,651",,,"0,422",2015,,
31,Tin Tin Yu,,,89,Retired teacher,Myanmar,Tin Tin is a former English teacher in several Burmese state schools and the American International School in Yangon. She opened her own kindergarten after she retired. She is a keen athlete and sports fan who almost never misses a Manchester United match. Tin Tin features in our 'Vintage ladies' strand.,"62,655",1223.742,"64,23086696",,,,"0,557",2015,,
32,Cristina Randall,,#CristinaRandall #Startupgrind,29,Entrepreneur,Canada,"Cristina moved from Canada to Mexico and founded Conekta, an online payment system. It is designed to allow businesses that normally lack access to the usual commercial channels, such as outdoor markets, to move their transactions online. Cristina features in our '30 under 30' strand.","1556,508",43626.47,"86,28757994","0,74","30,8",26,"0,921",2015,,
33,Marie-Ange Zimndou Koutou,,,42,Nurse's aide,Central African Republic (the),"Marie-Ange has been working in the paediatrics department of a hospital run by Medecins Sans Frontieres in rural Kabo for the last nine years. Health workers are scarce in CAR, and having had just three months of training Marie-Ange does much of the work a fully qualified nurse would do elsewhere in the world. Marie-Ange features in our coverage focusing on nursing across the world.","1,696",377.476,"79,52339387",,,,"0,375",2015,,
34,Paula Escobar,@paulaescobarch,,47,Magazine editor,Chile,"Paula has been changing the way women are portrayed in the local media by clamping down on Photoshop manipulation. Paula was named a Young Global Leader by the World Economic Forum in 2006, and oversees six weekly magazines. Paula took part in our 'Is media failing women?' debate.","243,907",13571.923,"67,05945585","0,698","34,8","15,8","0,842",2015,,
35,Zihan Ling,@zihan_ling,#100womenwiki,28,Entrepreneur,China,"Zihan is the founder and CEO of TechBase, the first tech accelerator for women-led start-ups in China. She is keen to improve gender equality in the technology industry and has initiated the first Lean In tech mentorship programme in China. Zihan appears in our '30 under 30' strand.","11113,528",8084.8,"81,05481498","0,682",,,"0,739",2015,,
36,Li Tingting,,,26,Campaigner,China,"Li was detained earlier this year and is still on probation. She has staged many high-profile campaigns, including parading the streets in a wedding dress splashed with fake blood to increase awareness of domestic violence. In April she and her gay partner held an unofficial wedding ceremony even though gay marriage is prohibited in China.","11113,528",8084.8,"81,05481498","0,682",,,"0,739",2015,,
37,Xian Xu,,,28,Entrepreneur,China,"Xian co-founded Cuisines Sous Vide restaurant chain in China in March 2015, in a bid to tap into the lifestyle tastes of young middle class Chinese. The chain utilises the sous vide method of cooking, a popular restaurant technique that involves cooking food slowly in airtight plastic bags at very low temperatures. Xian appears in our '30 under 30' strand.","11113,528",8084.8,"81,05481498","0,682",,,"0,739",2015,,
38,Naomi Bya’Ombe,,,15,Schoolgirl,Congo (the Democratic Republic of the),"Naomi lives in Kinshasa, DRC, and likes singing and dancing. Naomi is the fifth child out of seven and also lives with two of her cousins. She is currently finishing secondary school and sings in the church choir every Sunday. Naomi appears in our 'Good girl' film-makers strand.","37,915",435.979,"91,48936669",,,,"0,464",2015,,
39,Nawal el-Sadaawi,,#elsaddaawi,85,Writer,Egypt,"A world-renowned author of more than 40 books, and a passionate advocate of women's rights in her homeland, her books have been highly influential for Egyptian women. Her controversial work Women and Sex, which was banned in Egypt for nearly two decades, raised awareness of female sexuality and female genital mutilation. Nawal features in our 'Vintage ladies' strand.","332,075",3731.177,"30,61085613","0,599",,,"0,691",2015,,
40,Elissa Freiha,@freihahaha,#Elissa_Freiha,25,Entrepreneur,United Arab Emirates (the),Elissa is the co-founder of WOMENA which aims to empower women to invest in tech start-ups based in the Middle East. She was recently named as one of Forbes' Middle East's Inspiring Business Leaders of the UAE. Elissa appears in our '30 under 30' strand.,"358,135",37380.571,"53,44955028","0,646",,,"0,859",2015,,
41,Misraa Jimaa,,,,Health extension worker,Ethiopia,"Misraa received a year's training in preventative health care and now works in a local community. She helps educate local people about health issues, family planning, vaccinations and nutrition, and works particularly with mothers and young children. Misraa features in our coverage focusing on nursing across the world.","63,081",702.767,"84,22563969","0,64",,,"0,462",2015,,
42,Xyza Bacani,@XyzaCruzBacani,,28,Photographer,Philippines (the),"Having worked as a domestic worker in Hong Kong for almost a decade, Xyza tells the stories of the victims of human rights violations through photography. She is one of the Magnum Foundation Human Rights Fellows 2015 and is currently based in New York.","306,446",3039.234,"65,46179179","0,79",,,"0,701",2015,,
43,Elsa Prieto,,@pilipop #30under30,27,Entrepreneur,France,"Technical director and co-founder of Pili Pop, a language learning app for children focused on oral skills and total immersion. Pili Pop English has been downloaded more than 500,000 times and the company has just released Pili Pop Español for learning Spanish. Elsa appears in our '30 under 30' strand.","2439,436",37937.861,"83,71249408","0,761",50,"26,2","0,895",2015,,
44,Meryl Benitah,@MerylBENITAH,@La_BQC,26,Entrepreneur,France,"Meryl set up La Boite Qui Cartonne, a decluttering service, after studying at the Sorbonne. The company delivers boxes to be packed by the customer which are then taken away and stored, to be re-delivered at any time. Meryl features in our '30 under 30' strand.","2439,436",37937.861,"83,71249408","0,761",50,"26,2","0,895",2015,,
45,Aissa Edon,,#aïssaedon #AissaEdon #100women,33,Midwife,France,"Aissa is a midwife who specialises in dealing with female genital mutilation (FGM). Born in Mali but raised in France, she was subjected to FGM as a child. She currently works in London helping women who may have problems during pregnancy and giving birth as a result of FGM. Aissa features in our coverage focusing on nursing across the world.","2439,436",37937.861,"83,71249408","0,761",50,"26,2","0,895",2015,,
46,Fatou Bensouda,,#FatouBensouda ,54,"Chief Prosecutor, ICC",Gambia (the),"The chief prosecutor of the International Criminal Court (ICC) in the Hague, she is the first African to hold a top post at the ICC. She previously served as a civil servant in the Gambian government, and is the recipient of many awards for her work in criminal law. Fatou features in our '100 Women interviews' strand.","1,355",649.511,"74,61697639","0,674",,,"0,471",2015,,
47,Uta Frith,@utafrith,,74,Psychologist,Germany,Uta is Emeritus Professor of Cognitive Development at University College London. She is best-known for her work on autism and dyslexia and is currently chairwoman of the Royal Society’s Diversity Committee.,"3357,926",41107.222,"82,20877671","0,779","33,3","36,5","0,938",2015,,
48,Jana Tepe,@JanaTepe,#GDWxBertelsmannStiftung,29,Entrepreneur,Germany,"Jana is founder and CEO of Tandemploy, a job-sharing platform. It is designed to allow people interested in job sharing to find their counterparts and get in touch with companies offering job sharing opportunities. Jana appears in our '30 under 30' strand.","3357,926",41107.222,"82,20877671","0,779","33,3","36,5","0,938",2015,,
49,Ernestina Edem Appiah,,,38,Social entrepreneur,Ghana,"Ernestina (Tina) is the founder of the Ghana Code Club, which works to equip Ghanaian children between the ages of 8 and 14 years with coding skills. She wants to launch Ghana Code Club in most, if not all, basic schools in Ghana.","48,595",1753.851,"87,64835651","0,704",,,"0,59",2015,,
50,Sara Jane Ho,@sarajaneho,#Businesswoman,29,Entrepreneur,Hong Kong,"Sara Jane founded Institute Sarita which runs two etiquette schools in China teaching the importance of manners and etiquette in Chinese culture, especially in the business world. She plans to expand her brand into a lifestyle network. Sara Jane features in our '30 under 30' strand.","309,386",42325.352,"79,20315691",,,,"0,93",2015,,
51,Michelle Sun,@michellelsun,,28,Entrepreneur,Hong Kong,"After a stint in Silicon Valley, Michelle returned home to Hong Kong to found First Code Academy which introduces coding and computer programming into schools. The academy also provides courses on computer literacy for young children. Michelle features in our '30 under 30' strand.","309,386",42325.352,"79,20315691",,,,"0,93",2015,,
52,Asha Bhosle,@ashabhosle,,82,Singer,India,"A singing legend who started working in Bollywood in 1943, Asha features in the Guinness Book of Records as the most recorded artist in music history. As a playback singer, she has recorded songs to be mimed in 1,000 films by hundreds of actresses.","2103,588",1605.605,"27,91085052","0,664",,,"0,624",2015,,
53,Kamini Kaushal,,#KaminiKaushal,88,Former Bollywood actress,India,"The Vivienne Leigh of her generation in Bollywood, Kamini has acted in more than 100 films. She was the leading actress in Neecha Nagar which won best film in Cannes in 1946 - the first Indian film to do so. Kamini features in our 'Vintage ladies' strand.","2103,588",1605.605,"27,91085052","0,664",,,"0,624",2015,,
54,Rimppi Kumari,,#100women,32,Farmer,India,"Rimppi Kumari is a farmer who, along with her sister Karamjit, took over a 32-acre farm in Rajasthan after their father died. She is the boss, while her older brother, who is married with children, takes a back seat role.","2103,588",1605.605,"27,91085052","0,664",,,"0,624",2015,,
55,Sania Mirza,@MirzaSania,#Tennis #saniamirza,28,Tennis player,India,Sania is currently ranked the world's women's doubles number one. She is one of India's most successful tennis players and in 2015 was both the Wimbledon and US Open women's doubles champion. Sania features in our '100 Women interviews' strand.,"2103,588",1605.605,"27,91085052","0,664",,,"0,624",2015,,
56,Smriti Nagpal,@smriti_nagpal,#IndiaForWomen,25,Entrepreneur,India,"Smriti was inspired by her work as a sign language interpreter in India, which has the largest deaf population in the world, to set up Atulyakala. The organisation sells products like bags, mugs, wallets and journals by deaf designers. Smriti features in our '30 under 30' strand.","2103,588",1605.605,"27,91085052","0,664",,,"0,624",2015,,
