day,n
2020-01-01,6
2020-01-02,7
2020-01-03,2
2020-01-04,7
2020-01-05,2
2020-01-06,2
2020-01-07,3
2020-01-08,2
2020-01-09,2
2020-01-10,31
2020-01-11,6
2020-01-12,2
2020-01-13,1
2020-01-14,2
2020-01-15,3
2020-01-16,4
2020-01-17,2
2020-01-18,6
2020-01-19,2
2020-01-20,1
2020-01-21,5
2020-01-22,3
2020-01-23,6
2020-01-24,0
2020-01-25,0
2020-01-26,5
2020-01-27,4
2020-01-28,3
2020-01-29,2
2020-01-30,3
2020-01-31,0
2020-02-01,3
2020-02-02,4
2020-02-03,6
2020-02-04,1
2020-02-05,3
2020-02-06,5
2020-02-07,7
2020-02-08,17
2020-02-09,5
2020-02-10,6
2020-02-11,1
2020-02-12,8
2020-02-13,4
2020-02-14,5
2020-02-15,1
2020-02-16,3
2020-02-17,4
2020-02-18,6
2020-02-19,1
2020-02-20,3
2020-02-21,2
2020-02-22,4
2020-02-23,4
2020-02-24,3
2020-02-25,1
2020-02-26,1
2020-02-27,2
2020-02-28,7
2020-02-29,5
2020-03-01,2
2020-03-02,0
2020-03-03,4
2020-03-04,9
2020-03-05,10
2020-03-06,9
2020-03-07,10
2020-03-08,33
2020-03-09,19
2020-03-10,10
2020-03-11,2
2020-03-12,4
2020-03-13,3
2020-03-14,2
2020-03-15,2
2020-03-16,3
2020-03-17,1
2020-03-18,2
2020-03-19,1
2020-03-20,0
2020-03-21,0
2020-03-22,1
2020-03-23,3
2020-03-24,2
2020-03-25,4
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,4
2020-03-30,1
2020-03-31,2
2020-04-01,0
2020-04-02,3
2020-04-03,3
2020-04-04,1
2020-04-05,0
2020-04-06,3
2020-04-07,9
2020-04-08,8
2020-04-09,2
2020-04-10,8
2020-04-11,1
2020-04-12,1
2020-04-13,2
2020-04-14,0
2020-04-15,3
2020-04-16,7
2020-04-17,4
2020-04-18,1
2020-04-19,0
2020-04-20,3
2020-04-21,2
2020-04-22,1
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,3
2020-04-27,0
2020-04-28,0
2020-04-29,1
2020-04-30,1
2020-05-01,1
2020-05-02,1
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,3
2020-05-08,2
2020-05-09,1
2020-05-10,1
2020-05-11,2
2020-05-12,3
2020-05-13,0
2020-05-14,0
2020-05-15,0
2020-05-16,3
2020-05-17,1
2020-05-18,3
2020-05-19,1
2020-05-20,2
2020-05-21,7
2020-05-22,4
2020-05-23,2
2020-05-24,1
2020-05-25,0
2020-05-26,1
2020-05-27,2
2020-05-28,1
2020-05-29,1
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,2
2020-06-03,3
2020-06-04,1
2020-06-05,1
2020-06-06,3
2020-06-07,4
2020-06-08,2
2020-06-09,0
2020-06-10,0
2020-06-11,1
2020-06-12,2
2020-06-13,2
2020-06-14,1
2020-06-15,1
2020-06-16,2
2020-06-17,4
2020-06-18,2
2020-06-19,0
2020-06-20,1
2020-06-21,1
2020-06-22,5
2020-06-23,1
2020-06-24,2
2020-06-25,9
2020-06-26,1
2020-06-27,5
2020-06-28,1
2020-06-29,0
2020-06-30,2
2020-07-01,6
2020-07-02,1
2020-07-03,3
2020-07-04,1
2020-07-05,2
2020-07-06,0
2020-07-07,1
2020-07-08,1
2020-07-09,2
2020-07-10,0
2020-07-11,0
2020-07-12,2
2020-07-13,0
2020-07-14,2
2020-07-15,2
2020-07-16,1
2020-07-17,1
2020-07-18,2
2020-07-19,1
2020-07-20,0
2020-07-21,3
2020-07-22,2
2020-07-23,1
2020-07-24,0
2020-07-25,1
2020-07-26,1
2020-07-27,0
2020-07-28,2
2020-07-29,0
2020-07-30,1
2020-07-31,2
2020-08-01,1
2020-08-02,3
2020-08-03,4
2020-08-04,3
2020-08-05,2
2020-08-06,1
2020-08-07,2
2020-08-08,1
2020-08-09,1
2020-08-10,0
2020-08-11,1
2020-08-12,4
2020-08-13,3
2020-08-14,2
2020-08-15,2
2020-08-16,0
2020-08-17,1
2020-08-18,104
2020-08-19,9
2020-08-20,1
2020-08-21,3
2020-08-22,3
2020-08-23,2
2020-08-24,0
2020-08-25,2
2020-08-26,1
2020-08-27,0
2020-08-28,1
2020-08-29,2
2020-08-30,0
2020-08-31,2
2020-09-01,0
2020-09-02,2
2020-09-03,0
2020-09-04,0
2020-09-05,2
2020-09-06,0
2020-09-07,1
2020-09-08,1
2020-09-09,2
2020-09-10,1
2020-09-11,0
2020-09-12,0
2020-09-13,0
2020-09-14,1
2020-09-15,0
2020-09-16,0
2020-09-17,3
2020-09-18,0
2020-09-19,2
2020-09-20,1
2020-09-21,1
2020-09-22,0
2020-09-23,1
2020-09-24,0
2020-09-25,0
2020-09-26,5
2020-09-27,1
2020-09-28,0
2020-09-29,0
2020-09-30,1
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,1
2020-10-05,0
2020-10-06,0
2020-10-07,1
2020-10-08,1
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,1
2020-10-14,0
2020-10-15,1
2020-10-16,8
2020-10-17,3
2020-10-18,1
2020-10-19,0
2020-10-20,0
2020-10-21,1
2020-10-22,2
2020-10-23,2
2020-10-24,1
2020-10-25,4
2020-10-26,1
2020-10-27,3
2020-10-28,4
2020-10-29,0
2020-10-30,1
2020-10-31,3
2020-11-01,1
2020-11-02,2
2020-11-03,0
2020-11-04,1
2020-11-05,0
2020-11-06,3
2020-11-07,1
2020-11-08,1
2020-11-09,1
2020-11-10,1
2020-11-11,4
2020-11-12,0
2020-11-13,0
2020-11-14,2
2020-11-15,1
2020-11-16,0
2020-11-17,6
2020-11-18,2
2020-11-19,5
2020-11-20,5
2020-11-21,5
2020-11-22,9
2020-11-23,168
2020-11-24,2677
2020-11-25,1347
2020-11-26,342
2020-11-27,293
2020-11-28,182
2020-11-29,109
2020-11-30,168
2020-12-01,77
2020-12-02,34
2020-12-03,28
2020-12-04,10
2020-12-05,13
2020-12-06,18
2020-12-07,18
2020-12-08,9
2020-12-09,11
2020-12-10,12
2020-12-11,11
2020-12-12,5
2020-12-13,8
2020-12-14,2
2020-12-15,5
2020-12-16,10
2020-12-17,7
2020-12-18,3
2020-12-19,2
2020-12-20,4
2020-12-21,2
2020-12-22,7
2020-12-23,2
2020-12-24,2
2020-12-25,1
2020-12-26,4
2020-12-27,1
2020-12-28,4
2020-12-29,3
2020-12-30,3
2020-12-31,6
