day,n
2018-01-01,11
2018-01-02,13
2018-01-03,15
2018-01-04,12
2018-01-05,7
2018-01-06,6
2018-01-07,6
2018-01-08,12
2018-01-09,6
2018-01-10,5
2018-01-11,4
2018-01-12,7
2018-01-13,16
2018-01-14,7
2018-01-15,5
2018-01-16,9
2018-01-17,2
2018-01-18,5
2018-01-19,8
2018-01-20,76
2018-01-21,7
2018-01-22,4
2018-01-23,10
2018-01-24,7
2018-01-25,10
2018-01-26,5
2018-01-27,8
2018-01-28,1
2018-01-29,9
2018-01-30,17
2018-01-31,12
2018-02-01,8
2018-02-02,12
2018-02-03,7
2018-02-04,9
2018-02-05,17
2018-02-06,98
2018-02-07,24
2018-02-08,16
2018-02-09,26
2018-02-10,14
2018-02-11,7
2018-02-12,11
2018-02-13,14
2018-02-14,7
2018-02-15,20
2018-02-16,14
2018-02-17,5
2018-02-18,9
2018-02-19,14
2018-02-20,12
2018-02-21,5
2018-02-22,12
2018-02-23,14
2018-02-24,6
2018-02-25,2
2018-02-26,13
2018-02-27,4
2018-02-28,7
2018-03-01,10
2018-03-02,56
2018-03-03,26
2018-03-04,26
2018-03-05,541
2018-03-06,134
2018-03-07,1118
2018-03-08,602
2018-03-09,98
2018-03-10,23
2018-03-11,35
2018-03-12,12
2018-03-13,16
2018-03-14,16
2018-03-15,22
2018-03-16,29
2018-03-17,14
2018-03-18,10
2018-03-19,11
2018-03-20,9
2018-03-21,13
2018-03-22,16
2018-03-23,2
2018-03-24,11
2018-03-25,6
2018-03-26,4
2018-03-27,11
2018-03-28,7
2018-03-29,352
2018-03-30,89
2018-03-31,6
2018-04-01,53
2018-04-02,21
2018-04-03,17
2018-04-04,13
2018-04-05,10
2018-04-06,3
2018-04-07,4
2018-04-08,2
2018-04-09,6
2018-04-10,10
2018-04-11,10
2018-04-12,7
2018-04-13,4
2018-04-14,6
2018-04-15,3
2018-04-16,4
2018-04-17,15
2018-04-18,6
2018-04-19,9
2018-04-20,6
2018-04-21,8
2018-04-22,5
2018-04-23,6
2018-04-24,14
2018-04-25,4
2018-04-26,5
2018-04-27,10
2018-04-28,10
2018-04-29,1
2018-04-30,9
2018-05-01,6
2018-05-02,2
2018-05-03,3
2018-05-04,2
2018-05-05,2
2018-05-06,1
2018-05-07,0
2018-05-08,12
2018-05-09,2
2018-05-10,2
2018-05-11,6
2018-05-12,3
2018-05-13,2
2018-05-14,2
2018-05-15,15
2018-05-16,12
2018-05-17,3
2018-05-18,6
2018-05-19,2
2018-05-20,11
2018-05-21,3
2018-05-22,12
2018-05-23,2
2018-05-24,11
2018-05-25,11
2018-05-26,28
2018-05-27,10
2018-05-28,10
2018-05-29,2
2018-05-30,2
2018-05-31,1
2018-06-01,4
2018-06-02,4
2018-06-03,2
2018-06-04,3
2018-06-05,4
2018-06-06,5
2018-06-07,8
2018-06-08,9
2018-06-09,2
2018-06-10,19
2018-06-11,5
2018-06-12,7
2018-06-13,9
2018-06-14,119
2018-06-15,37
2018-06-16,39
2018-06-17,3
2018-06-18,8
2018-06-19,5
2018-06-20,2
2018-06-21,2
2018-06-22,5
2018-06-23,3
2018-06-24,2
2018-06-25,4
2018-06-26,5
2018-06-27,3
2018-06-28,4
2018-06-29,6
2018-06-30,5
2018-07-01,2
2018-07-02,4
2018-07-03,1
2018-07-04,5
2018-07-05,2
2018-07-06,2
2018-07-07,9
2018-07-08,4
2018-07-09,8
2018-07-10,3
2018-07-11,2
2018-07-12,1
2018-07-13,5
2018-07-14,3
2018-07-15,2
2018-07-16,1
2018-07-17,26
2018-07-18,10
2018-07-19,3
2018-07-20,6
2018-07-21,3
2018-07-22,1
2018-07-23,6
2018-07-24,4
2018-07-25,5
2018-07-26,2
2018-07-27,1
2018-07-28,2
2018-07-29,1
2018-07-30,24
2018-07-31,44
2018-08-01,5
2018-08-02,10
2018-08-03,8
2018-08-04,7
2018-08-05,1
2018-08-06,3
2018-08-07,1
2018-08-08,12
2018-08-09,37
2018-08-10,5
2018-08-11,3
2018-08-12,3
2018-08-13,3
2018-08-14,2
2018-08-15,1
2018-08-16,1
2018-08-17,2
2018-08-18,13
2018-08-19,3
2018-08-20,2
2018-08-21,2
2018-08-22,2
2018-08-23,4
2018-08-24,2
2018-08-25,2
2018-08-26,3
2018-08-27,1
2018-08-28,0
2018-08-29,1
2018-08-30,0
2018-08-31,4
2018-09-01,2
2018-09-02,2
2018-09-03,3
2018-09-04,7
2018-09-05,17
2018-09-06,4
2018-09-07,5
2018-09-08,9
2018-09-09,10
2018-09-10,9
2018-09-11,14
2018-09-12,90
2018-09-13,15
2018-09-14,7
2018-09-15,0
2018-09-16,5
2018-09-17,3
2018-09-18,4
2018-09-19,3
2018-09-20,4
2018-09-21,3
2018-09-22,0
2018-09-23,3
2018-09-24,4
2018-09-25,5
2018-09-26,6
2018-09-27,4
2018-09-28,28
2018-09-29,2
2018-09-30,1
2018-10-01,20
2018-10-02,10
2018-10-03,5
2018-10-04,1
2018-10-05,87
2018-10-06,17
2018-10-07,8
2018-10-08,2
2018-10-09,1
2018-10-10,7
2018-10-11,9
2018-10-12,0
2018-10-13,0
2018-10-14,1
2018-10-15,4
2018-10-16,3
2018-10-17,2
2018-10-18,2
2018-10-19,4
2018-10-20,0
2018-10-21,1
2018-10-22,0
2018-10-23,4
2018-10-24,2
2018-10-25,0
2018-10-26,0
2018-10-27,1
2018-10-28,2
2018-10-29,2
2018-10-30,1
2018-10-31,0
2018-11-01,2
2018-11-02,19
2018-11-03,4
2018-11-04,2
2018-11-05,5
2018-11-06,2
2018-11-07,49
2018-11-08,12
2018-11-09,9
2018-11-10,7
2018-11-11,4
2018-11-12,6
2018-11-13,4
2018-11-14,4
2018-11-15,12
2018-11-16,8
2018-11-17,6
2018-11-18,2
2018-11-19,630
2018-11-20,693
2018-11-21,210
2018-11-22,214
2018-11-23,108
2018-11-24,55
2018-11-25,55
2018-11-26,194
2018-11-27,121
2018-11-28,51
2018-11-29,55
2018-11-30,49
2018-12-01,40
2018-12-02,68
2018-12-03,690
2018-12-04,837
2018-12-05,213
2018-12-06,75
2018-12-07,246
2018-12-08,67
2018-12-09,55
2018-12-10,20
2018-12-11,54
2018-12-12,18
2018-12-13,12
2018-12-14,23
2018-12-15,16
2018-12-16,7
2018-12-17,13
2018-12-18,8
2018-12-19,6
2018-12-20,70
2018-12-21,15
2018-12-22,5
2018-12-23,0
2018-12-24,16
2018-12-25,3
2018-12-26,8
2018-12-27,8
2018-12-28,9
2018-12-29,5
2018-12-30,6
2018-12-31,8
