day,n
2017-01-01,7
2017-01-02,2
2017-01-03,4
2017-01-04,1
2017-01-05,4
2017-01-06,4
2017-01-07,1
2017-01-08,0
2017-01-09,0
2017-01-10,1
2017-01-11,2
2017-01-12,3
2017-01-13,18
2017-01-14,1
2017-01-15,2
2017-01-16,0
2017-01-17,2
2017-01-18,4
2017-01-19,4
2017-01-20,5
2017-01-21,0
2017-01-22,2
2017-01-23,2
2017-01-24,1
2017-01-25,1
2017-01-26,0
2017-01-27,2
2017-01-28,3
2017-01-29,3
2017-01-30,1
2017-01-31,2
2017-02-01,1
2017-02-02,4
2017-02-03,1
2017-02-04,4
2017-02-05,4
2017-02-06,3
2017-02-07,1
2017-02-08,1
2017-02-09,32
2017-02-10,3
2017-02-11,2
2017-02-12,4
2017-02-13,3
2017-02-14,1
2017-02-15,0
2017-02-16,1
2017-02-17,1
2017-02-18,1
2017-02-19,1
2017-02-20,2
2017-02-21,0
2017-02-22,4
2017-02-23,2
2017-02-24,3
2017-02-25,3
2017-02-26,0
2017-02-27,0
2017-02-28,1
2017-03-01,9
2017-03-02,1
2017-03-03,4
2017-03-04,0
2017-03-05,1
2017-03-06,4
2017-03-07,4
2017-03-08,17
2017-03-09,8
2017-03-10,2
2017-03-11,0
2017-03-12,0
2017-03-13,6
2017-03-14,2
2017-03-15,1
2017-03-16,1
2017-03-17,4
2017-03-18,1
2017-03-19,1
2017-03-20,0
2017-03-21,0
2017-03-22,2
2017-03-23,2
2017-03-24,2
2017-03-25,1
2017-03-26,0
2017-03-27,0
2017-03-28,2
2017-03-29,1
2017-03-30,3
2017-03-31,3
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,2
2017-04-05,1
2017-04-06,2
2017-04-07,0
2017-04-08,0
2017-04-09,2
2017-04-10,1
2017-04-11,0
2017-04-12,6
2017-04-13,0
2017-04-14,1
2017-04-15,0
2017-04-16,1
2017-04-17,0
2017-04-18,1
2017-04-19,1
2017-04-20,1
2017-04-21,2
2017-04-22,1
2017-04-23,1
2017-04-24,1
2017-04-25,1
2017-04-26,2
2017-04-27,1
2017-04-28,3
2017-04-29,1
2017-04-30,0
2017-05-01,0
2017-05-02,0
2017-05-03,2
2017-05-04,1
2017-05-05,0
2017-05-06,0
2017-05-07,1
2017-05-08,1
2017-05-09,2
2017-05-10,0
2017-05-11,0
2017-05-12,1
2017-05-13,1
2017-05-14,0
2017-05-15,1
2017-05-16,2
2017-05-17,1
2017-05-18,1
2017-05-19,0
2017-05-20,0
2017-05-21,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,3
2017-05-26,5
2017-05-27,0
2017-05-28,0
2017-05-29,0
2017-05-30,1
2017-05-31,1
2017-06-01,1
2017-06-02,0
2017-06-03,1
2017-06-04,0
2017-06-05,0
2017-06-06,3
2017-06-07,3
2017-06-08,0
2017-06-09,2
2017-06-10,0
2017-06-11,0
2017-06-12,0
2017-06-13,0
2017-06-14,1
2017-06-15,0
2017-06-16,0
2017-06-17,0
2017-06-18,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,16
2017-06-24,0
2017-06-25,1
2017-06-26,0
2017-06-27,0
2017-06-28,0
2017-06-29,1
2017-06-30,2
2017-07-01,1
2017-07-02,1
2017-07-03,0
2017-07-04,0
2017-07-05,1
2017-07-06,2
2017-07-07,0
2017-07-08,1
2017-07-09,0
2017-07-10,2
2017-07-11,0
2017-07-12,2
2017-07-13,1
2017-07-14,1
2017-07-15,0
2017-07-16,0
2017-07-17,1
2017-07-18,2
2017-07-19,1
2017-07-20,0
2017-07-21,1
2017-07-22,0
2017-07-23,2
2017-07-24,0
2017-07-25,1
2017-07-26,0
2017-07-27,1
2017-07-28,1
2017-07-29,0
2017-07-30,0
2017-07-31,1
2017-08-01,3
2017-08-02,0
2017-08-03,1
2017-08-04,0
2017-08-05,0
2017-08-06,0
2017-08-07,2
2017-08-08,1
2017-08-09,2
2017-08-10,1
2017-08-11,2
2017-08-12,0
2017-08-13,0
2017-08-14,1
2017-08-15,1
2017-08-16,0
2017-08-17,1
2017-08-18,0
2017-08-19,0
2017-08-20,0
2017-08-21,1
2017-08-22,1
2017-08-23,0
2017-08-24,0
2017-08-25,0
2017-08-26,0
2017-08-27,0
2017-08-28,4
2017-08-29,2
2017-08-30,3
2017-08-31,2
2017-09-01,1
2017-09-02,3
2017-09-03,1
2017-09-04,187
2017-09-05,103
2017-09-06,56
2017-09-07,29
2017-09-08,12
2017-09-09,22
2017-09-10,23
2017-09-11,34
2017-09-12,37
2017-09-13,19
2017-09-14,28
2017-09-15,10
2017-09-16,2
2017-09-17,3
2017-09-18,34
2017-09-19,14
2017-09-20,18
2017-09-21,11
2017-09-22,15
2017-09-23,3
2017-09-24,5
2017-09-25,5
2017-09-26,4
2017-09-27,307
2017-09-28,228
2017-09-29,140
2017-09-30,43
2017-10-01,43
2017-10-02,217
2017-10-03,236
2017-10-04,155
2017-10-05,232
2017-10-06,202
2017-10-07,57
2017-10-08,30
2017-10-09,119
2017-10-10,49
2017-10-11,47
2017-10-12,49
2017-10-13,58
2017-10-14,20
2017-10-15,54
2017-10-16,192
2017-10-17,86
2017-10-18,49
2017-10-19,28
2017-10-20,149
2017-10-21,45
2017-10-22,38
2017-10-23,73
2017-10-24,62
2017-10-25,37
2017-10-26,48
2017-10-27,60
2017-10-28,192
2017-10-29,78
2017-10-30,39
2017-10-31,22
2017-11-01,21
2017-11-02,10
2017-11-03,19
2017-11-04,27
2017-11-05,32
2017-11-06,75
2017-11-07,112
2017-11-08,75
2017-11-09,69
2017-11-10,74
2017-11-11,52
2017-11-12,22
2017-11-13,36
2017-11-14,22
2017-11-15,8
2017-11-16,10
2017-11-17,10
2017-11-18,12
2017-11-19,14
2017-11-20,15
2017-11-21,109
2017-11-22,59
2017-11-23,9
2017-11-24,18
2017-11-25,9
2017-11-26,8
2017-11-27,9
2017-11-28,6
2017-11-29,9
2017-11-30,7
2017-12-01,11
2017-12-02,12
2017-12-03,10
2017-12-04,11
2017-12-05,12
2017-12-06,7
2017-12-07,23
2017-12-08,28
2017-12-09,16
2017-12-10,9
2017-12-11,13
2017-12-12,6
2017-12-13,18
2017-12-14,14
2017-12-15,7
2017-12-16,3
2017-12-17,8
2017-12-18,30
2017-12-19,21
2017-12-20,4
2017-12-21,9
2017-12-22,9
2017-12-23,6
2017-12-24,5
2017-12-25,3
2017-12-26,15
2017-12-27,7
2017-12-28,11
2017-12-29,10
2017-12-30,3
2017-12-31,4
