"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","WOMENPOLVOICE","POLREPRES","PC","A","2015",19.4,
"USA","WOMENPOLVOICE","POLREPRES","PC","A","2017",19.1,
"USA","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"ALB","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"DZA","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"ARG","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"ARM","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"AZE","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"BGD","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"BLR","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"BIH","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"BRA","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"BGR","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"KHM","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"CHL","WOMENPOLVOICE","POLREPRES","PC","A","2015",15.8,
"CHL","WOMENPOLVOICE","POLREPRES","PC","A","2017",15.8,
"CHL","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"CHN","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"COL","WOMENPOLVOICE","POLREPRES","PC","A","2015",33.3,
"COL","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"HRV","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"CYP","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"EGY","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"EST","WOMENPOLVOICE","POLREPRES","PC","A","2015",23.8,
"EST","WOMENPOLVOICE","POLREPRES","PC","A","2017",26.7,
"EST","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"ETH","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"GEO","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"GHA","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"HTI","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"IND","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"IDN","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"IRN","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"ISR","WOMENPOLVOICE","POLREPRES","PC","A","2015",26.7,
"ISR","WOMENPOLVOICE","POLREPRES","PC","A","2017",27.5,
"ISR","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"KAZ","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"LVA","WOMENPOLVOICE","POLREPRES","PC","A","2015",18,
"LVA","WOMENPOLVOICE","POLREPRES","PC","A","2017",16,
"LVA","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"LTU","WOMENPOLVOICE","POLREPRES","PC","A","2015",23.4,
"LTU","WOMENPOLVOICE","POLREPRES","PC","A","2017",21.3,
"LTU","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"MKD","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"MYS","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"MDA","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"MOZ","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"NGA","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"PAK","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"PRY","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"PER","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"PHL","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"ROU","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"RUS","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"SAU","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"SGP","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"SVN","WOMENPOLVOICE","POLREPRES","PC","A","2015",36.7,
"SVN","WOMENPOLVOICE","POLREPRES","PC","A","2017",36.7,
"SVN","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"ZAF","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"SDN","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"TZA","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"THA","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"UKR","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"ARE","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"URY","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"VNM","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"ZMB","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"SRB","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"AFG","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"AGO","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"BHR","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"BEN","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"BTN","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"BOL","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"BWA","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"BFA","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"BDI","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"CMR","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"CAF","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"TCD","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"COG","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"CRI","WOMENPOLVOICE","POLREPRES","PC","A","2015",19.9,
"CRI","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
"CIV","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"CUB","WOMENPOLVOICE","POLREPRES","PC","A","2019",50,
"COD","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"DOM","WOMENPOLVOICE","POLREPRES","PC","A","2019",0,
